epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1840.75,1.0902,0.60283,1.16133,0.90387,0.81513,0.88839,0.54221,1.37264,0.7118,1.30055,0.000821206,0.000821206,0.000821206
43,1885.18,1.08878,0.59515,1.15763,0.90446,0.82435,0.8924,0.54677,1.36869,0.71142,1.31394,0.000800577,0.000800577,0.000800577
44,1929.8,1.09059,0.59814,1.15928,0.90649,0.82067,0.89173,0.54538,1.37871,0.70536,1.2943,0.000779948,0.000779948,0.000779948
45,1974.14,1.07635,0.57904,1.15128,0.89795,0.83154,0.89701,0.55579,1.35114,0.69532,1.28497,0.000759318,0.000759318,0.000759318
46,2018.65,1.05821,0.5739,1.14014,0.90137,0.79992,0.87988,0.54304,1.37223,0.73027,1.31918,0.000738689,0.000738689,0.000738689
47,2060.77,1.03159,0.55903,1.12653,0.89943,0.82603,0.88522,0.55522,1.34967,0.70276,1.29398,0.00071806,0.00071806,0.00071806
48,2102.59,1.04275,0.56503,1.12752,0.91359,0.81047,0.8825,0.54507,1.37166,0.70639,1.29958,0.000697431,0.000697431,0.000697431
49,2145.19,1.02433,0.54891,1.11865,0.91377,0.82246,0.89285,0.55718,1.33969,0.69895,1.28363,0.000676802,0.000676802,0.000676802
50,2187.92,1.01315,0.55233,1.11534,0.90917,0.83634,0.89963,0.55965,1.35643,0.67351,1.30112,0.000656173,0.000656173,0.000656173
51,2231.33,1.00321,0.53578,1.10858,0.9117,0.82344,0.90055,0.56557,1.33442,0.66884,1.29334,0.000635544,0.000635544,0.000635544
52,2275.72,0.98901,0.53095,1.10337,0.89278,0.82652,0.89201,0.56238,1.32751,0.68247,1.29516,0.000614915,0.000614915,0.000614915
53,2320.32,0.97646,0.52326,1.09048,0.9188,0.81971,0.8965,0.56659,1.33316,0.6806,1.28401,0.000594286,0.000594286,0.000594286
54,2364.9,0.96422,0.51286,1.08381,0.90984,0.83602,0.89662,0.57007,1.31834,0.66794,1.27686,0.000573656,0.000573656,0.000573656
55,2409.82,0.96086,0.51221,1.08384,0.90464,0.83949,0.90183,0.56797,1.33435,0.66182,1.2886,0.000553027,0.000553027,0.000553027
56,2453.34,0.95117,0.50396,1.075,0.90963,0.84628,0.90352,0.57072,1.32459,0.66802,1.28407,0.000532398,0.000532398,0.000532398
57,2494.75,0.93486,0.49582,1.06898,0.92444,0.84008,0.90161,0.57464,1.3062,0.6474,1.27677,0.000511769,0.000511769,0.000511769
58,2538.5,0.91867,0.48427,1.05827,0.91554,0.82906,0.89734,0.56554,1.33805,0.66872,1.30578,0.00049114,0.00049114,0.00049114
59,2583.65,0.91144,0.48606,1.05678,0.91452,0.83872,0.90401,0.56977,1.3203,0.65851,1.28077,0.000470511,0.000470511,0.000470511
60,2628.51,0.90152,0.47847,1.04701,0.91817,0.8472,0.90836,0.57912,1.31079,0.64159,1.28192,0.000449882,0.000449882,0.000449882
61,2670.47,0.88805,0.47566,1.04165,0.90987,0.83233,0.90123,0.57474,1.31041,0.64506,1.28938,0.000429253,0.000429253,0.000429253
62,2712.35,0.88401,0.46414,1.03802,0.92138,0.83021,0.90327,0.57517,1.31791,0.64361,1.28701,0.000408623,0.000408623,0.000408623
63,2754.5,0.87359,0.46368,1.0347,0.91861,0.83721,0.90351,0.57795,1.30911,0.64598,1.29634,0.000387994,0.000387994,0.000387994
64,2796.25,0.87984,0.45912,1.03867,0.91579,0.84031,0.90505,0.58103,1.30723,0.63721,1.28444,0.000367365,0.000367365,0.000367365
65,2839.71,0.856,0.45269,1.02269,0.92526,0.84071,0.90562,0.57818,1.32196,0.64172,1.303,0.000346736,0.000346736,0.000346736
66,2885.29,0.84741,0.44687,1.0246,0.9155,0.84042,0.90154,0.58024,1.30786,0.64332,1.29321,0.000326107,0.000326107,0.000326107
67,2930.2,0.84152,0.44082,1.01776,0.93114,0.82923,0.90531,0.5806,1.29634,0.63551,1.2888,0.000305478,0.000305478,0.000305478
68,2975.26,0.82387,0.43727,1.00865,0.92109,0.84639,0.90782,0.58436,1.29649,0.62798,1.28876,0.000284849,0.000284849,0.000284849
69,3020.34,0.82081,0.43189,1.00835,0.93459,0.8329,0.90866,0.58323,1.30534,0.62778,1.29777,0.00026422,0.00026422,0.00026422
70,3065.12,0.81526,0.4284,1.00226,0.92961,0.83393,0.90488,0.58073,1.3049,0.6286,1.29486,0.00024359,0.00024359,0.00024359
71,3130.48,0.7999,0.42195,0.99619,0.91684,0.83618,0.90156,0.57736,1.2965,0.63707,1.29242,0.000222961,0.000222961,0.000222961
72,3176.1,0.79905,0.41963,0.99639,0.91438,0.84554,0.90611,0.58238,1.29458,0.62504,1.29179,0.000202332,0.000202332,0.000202332
73,3219.15,0.78277,0.41903,0.98776,0.93161,0.83024,0.90457,0.58259,1.29485,0.63264,1.2916,0.000181703,0.000181703,0.000181703
74,3263.71,0.76824,0.41043,0.98213,0.9298,0.83819,0.90201,0.58124,1.29792,0.63136,1.29751,0.000161074,0.000161074,0.000161074
75,3306.76,0.76509,0.40378,0.9802,0.92999,0.83849,0.90597,0.58453,1.29581,0.63548,1.29475,0.000140445,0.000140445,0.000140445
76,3349.72,0.76246,0.40484,0.97654,0.93264,0.84229,0.90865,0.58198,1.29805,0.62921,1.29459,0.000119816,0.000119816,0.000119816
77,3392.01,0.75304,0.39941,0.97406,0.92391,0.84518,0.9081,0.58778,1.29574,0.62939,1.2972,9.91865e-05,9.91865e-05,9.91865e-05
78,3433.59,0.74716,0.39608,0.96988,0.92273,0.85251,0.90911,0.58956,1.29511,0.6265,1.30052,7.85574e-05,7.85574e-05,7.85574e-05
79,3475.9,0.74622,0.39641,0.97205,0.92241,0.8504,0.90579,0.58854,1.29179,0.62361,1.29613,5.79283e-05,5.79283e-05,5.79283e-05
80,3517.85,0.74157,0.39221,0.96676,0.9312,0.84333,0.90851,0.58916,1.29245,0.62177,1.29489,3.72991e-05,3.72991e-05,3.72991e-05
