epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1140.58,0.38851,0.27239,0.83536,0.79592,0.68555,0.76052,0.45343,1.53685,1.18862,1.59666,0.000821206,0.000821206,0.000821206
43,1167.41,0.37702,0.26816,0.83194,0.87289,0.6562,0.76199,0.46344,1.49842,1.11283,1.56282,0.000800577,0.000800577,0.000800577
44,1194.99,0.37893,0.26405,0.83277,0.8321,0.68679,0.77441,0.46866,1.51533,1.10916,1.59475,0.000779948,0.000779948,0.000779948
45,1223.38,0.35439,0.25646,0.82638,0.83597,0.65189,0.7568,0.45855,1.51758,1.15371,1.59789,0.000759318,0.000759318,0.000759318
46,1251.34,0.35812,0.2555,0.82648,0.84704,0.66879,0.76776,0.46319,1.50622,1.12533,1.59178,0.000738689,0.000738689,0.000738689
47,1278.62,0.33912,0.24753,0.82259,0.83821,0.68055,0.77475,0.46574,1.49583,1.08379,1.59047,0.00071806,0.00071806,0.00071806
48,1305.96,0.33644,0.24401,0.82155,0.85355,0.67845,0.78052,0.47712,1.50446,1.12129,1.58073,0.000697431,0.000697431,0.000697431
49,1333.52,0.32508,0.23889,0.81947,0.83519,0.69377,0.78438,0.46918,1.50784,1.05143,1.59669,0.000676802,0.000676802,0.000676802
50,1361.81,0.31472,0.23377,0.81741,0.86796,0.66718,0.77897,0.47044,1.51535,1.13462,1.59592,0.000656173,0.000656173,0.000656173
51,1389.6,0.30599,0.22926,0.81569,0.83909,0.69026,0.78721,0.47318,1.50306,1.05386,1.59951,0.000635544,0.000635544,0.000635544
52,1416.94,0.30458,0.2273,0.81467,0.85386,0.66609,0.76341,0.46113,1.5147,1.09231,1.60256,0.000614915,0.000614915,0.000614915
53,1444.23,0.28735,0.2186,0.81133,0.86163,0.68415,0.78205,0.47323,1.4972,1.07553,1.59886,0.000594286,0.000594286,0.000594286
54,1472.74,0.28276,0.2156,0.81037,0.84565,0.66608,0.77256,0.46836,1.49629,1.07714,1.60117,0.000573656,0.000573656,0.000573656
55,1500.07,0.27314,0.2105,0.80877,0.86429,0.66387,0.77831,0.46754,1.50214,1.11366,1.61353,0.000553027,0.000553027,0.000553027
56,1527.24,0.2666,0.20761,0.80714,0.85515,0.67118,0.76961,0.45966,1.49899,1.08685,1.6128,0.000532398,0.000532398,0.000532398
57,1554.16,0.26033,0.20313,0.80617,0.8433,0.66225,0.77162,0.47255,1.49191,1.09636,1.612,0.000511769,0.000511769,0.000511769
58,1582.38,0.25565,0.20029,0.80497,0.86878,0.67261,0.78049,0.47116,1.5081,1.07762,1.63815,0.00049114,0.00049114,0.00049114
59,1610.78,0.24575,0.19474,0.80343,0.83493,0.69338,0.77588,0.46648,1.50295,1.07652,1.62583,0.000470511,0.000470511,0.000470511
60,1637.54,0.24017,0.1909,0.8022,0.83907,0.67389,0.7724,0.47273,1.49113,1.07217,1.62296,0.000449882,0.000449882,0.000449882
61,1664.83,0.22937,0.18566,0.80049,0.87199,0.67216,0.78037,0.47668,1.4987,1.07791,1.6363,0.000429253,0.000429253,0.000429253
62,1692.2,0.22472,0.18287,0.79977,0.85629,0.68006,0.77801,0.47383,1.49601,1.04682,1.63376,0.000408623,0.000408623,0.000408623
63,1720.32,0.22279,0.1807,0.79924,0.86187,0.67026,0.77852,0.47148,1.49244,1.04921,1.64239,0.000387994,0.000387994,0.000387994
