epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1103.9,1.12446,0.65293,1.1645,0.87608,0.78256,0.86472,0.51257,1.44181,0.80068,1.33373,0.000821206,0.000821206,0.000821206
43,1130.46,1.13321,0.64847,1.16648,0.87478,0.79536,0.8692,0.51718,1.43634,0.77485,1.32155,0.000800577,0.000800577,0.000800577
44,1156.62,1.12989,0.64683,1.16322,0.8903,0.77653,0.86934,0.51538,1.42577,0.76972,1.31667,0.000779948,0.000779948,0.000779948
45,1182.71,1.1247,0.63602,1.16348,0.8983,0.79358,0.86765,0.5182,1.42939,0.78171,1.32264,0.000759318,0.000759318,0.000759318
46,1209.07,1.08755,0.62266,1.14236,0.89302,0.80328,0.88346,0.52508,1.43409,0.7605,1.32958,0.000738689,0.000738689,0.000738689
47,1236.1,1.07224,0.60807,1.13277,0.8993,0.80548,0.88431,0.53263,1.4048,0.72537,1.30904,0.00071806,0.00071806,0.00071806
48,1262.84,1.08718,0.61351,1.13791,0.90185,0.78823,0.87575,0.52351,1.42233,0.74756,1.30453,0.000697431,0.000697431,0.000697431
49,1287.62,1.06745,0.60273,1.12741,0.89403,0.78844,0.87858,0.53314,1.40178,0.75351,1.31255,0.000676802,0.000676802,0.000676802
50,1312.36,1.06305,0.60563,1.12842,0.89223,0.8034,0.8817,0.53723,1.38638,0.73288,1.29788,0.000656173,0.000656173,0.000656173
51,1336.96,1.04686,0.58326,1.11309,0.91714,0.8205,0.88763,0.54147,1.39121,0.72323,1.29415,0.000635544,0.000635544,0.000635544
52,1361.91,1.04283,0.57875,1.1117,0.91357,0.79685,0.8827,0.52303,1.4389,0.75974,1.33485,0.000614915,0.000614915,0.000614915
53,1387.82,1.02461,0.5719,1.10377,0.91668,0.80463,0.89359,0.54135,1.37796,0.7337,1.29292,0.000594286,0.000594286,0.000594286
54,1415.14,1.01778,0.56898,1.10015,0.90667,0.80418,0.88548,0.53691,1.40588,0.72328,1.30739,0.000573656,0.000573656,0.000573656
55,1442.47,1.01219,0.56159,1.09375,0.89573,0.82932,0.8943,0.54086,1.38408,0.71551,1.29916,0.000553027,0.000553027,0.000553027
56,1467.65,1.01193,0.55595,1.09109,0.907,0.81733,0.89186,0.54104,1.38564,0.72988,1.2986,0.000532398,0.000532398,0.000532398
57,1492.77,0.99572,0.54817,1.08511,0.91199,0.83254,0.89365,0.54341,1.39021,0.71379,1.29795,0.000511769,0.000511769,0.000511769
58,1517.86,0.98034,0.54075,1.07572,0.91902,0.80098,0.88808,0.53485,1.40778,0.72522,1.32766,0.00049114,0.00049114,0.00049114
59,1542.83,0.97458,0.54044,1.07658,0.90491,0.83573,0.89491,0.53889,1.40259,0.7151,1.31583,0.000470511,0.000470511,0.000470511
60,1567.85,0.96234,0.53306,1.06639,0.92814,0.82104,0.89598,0.55208,1.38547,0.69564,1.31932,0.000449882,0.000449882,0.000449882
61,1592.95,0.95443,0.52655,1.06478,0.91212,0.82147,0.89598,0.55018,1.37638,0.69801,1.31034,0.000429253,0.000429253,0.000429253
62,1618.13,0.94439,0.52233,1.05754,0.91747,0.82296,0.89757,0.54995,1.37519,0.69147,1.30377,0.000408623,0.000408623,0.000408623
63,1643.25,0.93737,0.51619,1.05431,0.92174,0.82013,0.89557,0.55216,1.37579,0.69881,1.30691,0.000387994,0.000387994,0.000387994
64,1668.19,0.94198,0.51646,1.05582,0.91218,0.82558,0.89418,0.55447,1.36901,0.68834,1.30257,0.000367365,0.000367365,0.000367365
65,1695.25,0.915,0.50226,1.03968,0.9155,0.82233,0.89408,0.5498,1.36923,0.69814,1.2982,0.000346736,0.000346736,0.000346736
66,1722.16,0.92084,0.49798,1.04522,0.91919,0.8134,0.89028,0.54948,1.36567,0.70229,1.30388,0.000326107,0.000326107,0.000326107
67,1749.75,0.90464,0.49687,1.03802,0.91498,0.82595,0.89524,0.55416,1.36175,0.69433,1.29924,0.000305478,0.000305478,0.000305478
68,1780.56,0.89927,0.492,1.03394,0.9119,0.82842,0.89632,0.55709,1.35643,0.68785,1.2946,0.000284849,0.000284849,0.000284849
69,1811.37,0.8873,0.48841,1.02794,0.89699,0.84104,0.89511,0.55342,1.3791,0.67836,1.30199,0.00026422,0.00026422,0.00026422
70,1842.51,0.88068,0.48022,1.02514,0.92329,0.83011,0.89947,0.55876,1.36907,0.68134,1.29997,0.00024359,0.00024359,0.00024359
71,1892.14,0.87731,0.47863,1.02278,0.91328,0.83137,0.90083,0.55646,1.36991,0.68291,1.30606,0.000222961,0.000222961,0.000222961
72,1920.56,0.87138,0.47443,1.02082,0.93532,0.81774,0.89578,0.5558,1.37208,0.67295,1.30768,0.000202332,0.000202332,0.000202332
73,1951.06,0.85543,0.47165,1.01422,0.92135,0.82789,0.90268,0.55909,1.36432,0.6701,1.30859,0.000181703,0.000181703,0.000181703
74,1978.93,0.84895,0.46335,1.00952,0.9279,0.81887,0.89915,0.56124,1.35466,0.66686,1.29972,0.000161074,0.000161074,0.000161074
75,2006.35,0.84322,0.46144,1.00584,0.91597,0.84029,0.90147,0.5601,1.36231,0.66723,1.30468,0.000140445,0.000140445,0.000140445
76,2033.41,0.84581,0.46049,1.0057,0.92545,0.82837,0.89947,0.56111,1.36537,0.66742,1.30577,0.000119816,0.000119816,0.000119816
77,2062.73,0.8368,0.45663,1.00092,0.9348,0.82878,0.90433,0.56214,1.35797,0.66791,1.30438,9.91865e-05,9.91865e-05,9.91865e-05
78,2093.21,0.82586,0.45453,0.99681,0.92807,0.83195,0.90279,0.56326,1.35432,0.66804,1.30437,7.85574e-05,7.85574e-05,7.85574e-05
79,2124.25,0.82536,0.45208,0.99885,0.92388,0.83263,0.90421,0.56177,1.35848,0.66855,1.30733,5.79283e-05,5.79283e-05,5.79283e-05
80,2153.33,0.81815,0.44925,0.99446,0.9302,0.82862,0.9042,0.5641,1.35268,0.66649,1.30293,3.72991e-05,3.72991e-05,3.72991e-05
